DT,Lufttemperatur,Vindstyrke,Solskinstid,Volum
2017-05-03 17:00:00,14.216666666666667,3.266666666666667,60.0,177
2017-05-03 18:00:00,13.799999999999999,2.216666666666667,60.0,132
2017-05-03 21:00:00,10.700000000000001,0.6166666666666667,0.0,65
2017-05-03 22:00:00,9.883333333333333,0.7833333333333333,0.0,43
2017-05-03 23:00:00,9.116666666666667,0.5666666666666667,0.0,16
2017-05-04 00:00:00,8.466666666666667,1.1500000000000001,0.0,12
2017-05-04 02:00:00,8.466666666666667,0.6666666666666666,0.0,2
2017-05-04 03:00:00,7.659999999999999,0.48,0.0,2
2017-05-04 04:00:00,7.56,1.24,10.3,1
2017-05-04 05:00:00,8.416666666666666,1.6166666666666665,60.0,11
2017-05-04 06:00:00,11.9,0.5166666666666667,60.0,90
2017-05-04 07:00:00,13.219999999999999,1.04,50.0,283
2017-05-04 08:00:00,14.216666666666667,1.6333333333333335,60.0,357
2017-05-04 09:00:00,15.65,2.0833333333333335,60.0,127
2017-05-04 10:00:00,16.416666666666668,2.983333333333333,60.0,88
2017-05-04 11:00:00,16.75,3.6166666666666667,60.0,62
2017-05-04 12:00:00,16.833333333333332,4.133333333333334,60.0,66
2017-05-04 14:00:00,15.183333333333335,4.783333333333333,6.0,131
2017-05-04 15:00:00,14.783333333333333,4.25,6.0,347
2017-05-04 16:00:00,14.933333333333332,4.166666666666667,60.0,312
2017-05-04 18:00:00,14.633333333333333,3.1666666666666665,56.6,108
2017-05-04 20:00:00,12.700000000000001,2.0500000000000003,0.0,62
2017-05-04 21:00:00,11.666666666666666,0.65,0.0,74
2017-05-05 00:00:00,8.583333333333334,0.65,0.0,11
2017-05-05 01:00:00,8.333333333333334,0.5,0.0,3
2017-05-05 04:00:00,7.7,0.26666666666666666,0.0,0
2017-05-05 05:00:00,9.0,0.65,40.3,12
2017-05-05 06:00:00,10.766666666666666,0.7333333333333334,60.0,77
2017-05-05 08:00:00,15.0,0.9800000000000001,50.0,293
2017-05-05 09:00:00,15.166666666666666,2.6666666666666665,60.0,121
2017-05-05 11:00:00,16.216666666666665,3.516666666666667,60.0,55
2017-05-05 12:00:00,16.55,3.4333333333333336,60.0,84
2017-05-05 13:00:00,17.099999999999998,4.783333333333333,60.0,86
2017-05-05 14:00:00,17.033333333333335,4.083333333333333,60.0,140
2017-05-05 15:00:00,16.900000000000002,4.1000000000000005,60.0,341
2017-05-05 17:00:00,16.599999999999998,3.216666666666667,60.0,156
2017-05-05 19:00:00,14.983333333333334,2.216666666666667,39.3,84
2017-05-05 20:00:00,13.633333333333333,1.7333333333333334,0.0,55
2017-05-05 22:00:00,11.6,0.3833333333333333,0.0,38
2017-05-06 00:00:00,10.966666666666667,0.6,0.0,14
2017-05-06 01:00:00,10.216666666666667,0.4166666666666667,0.0,7
2017-05-06 02:00:00,9.75,0.55,0.0,3
2017-05-06 04:00:00,9.383333333333333,0.75,12.0,1
2017-05-06 06:00:00,13.116666666666667,0.6333333333333333,60.0,12
2017-05-06 07:00:00,14.416666666666666,0.9500000000000001,60.0,20
2017-05-06 08:00:00,16.416666666666668,1.1500000000000001,60.0,31
2017-05-06 09:00:00,17.55,1.2333333333333334,60.0,38
2017-05-06 10:00:00,17.72,2.58,50.0,55
2017-05-06 11:00:00,17.316666666666666,4.033333333333333,60.0,69
2017-05-06 12:00:00,17.416666666666668,3.9,60.0,80
2017-05-06 13:00:00,17.366666666666667,4.083333333333333,60.0,74
2017-05-06 15:00:00,17.216666666666665,3.3333333333333335,60.0,73
2017-05-06 18:00:00,13.85,2.8833333333333333,60.0,46
2017-05-06 20:00:00,10.966666666666667,1.6166666666666665,0.0,45
2017-05-06 21:00:00,10.549999999999999,1.3499999999999999,0.0,31
2017-05-06 22:00:00,10.02,0.5599999999999999,0.0,14
2017-05-06 23:00:00,9.433333333333334,0.48333333333333334,0.0,25
2017-05-07 00:00:00,9.016666666666667,1.0,0.0,13
2017-05-07 02:00:00,8.540000000000001,1.24,0.0,6
2017-05-07 03:00:00,7.883333333333333,0.9666666666666667,0.0,6
2017-05-07 04:00:00,8.133333333333333,0.7833333333333333,0.0,3
2017-05-07 05:00:00,8.033333333333333,1.0999999999999999,0.0,0
2017-05-07 06:00:00,8.4,0.9333333333333332,0.0,9
2017-05-07 07:00:00,9.183333333333334,1.1166666666666667,35.0,12
2017-05-07 08:00:00,12.0,1.2166666666666666,60.0,22
2017-05-07 10:00:00,16.816666666666666,4.116666666666667,60.0,45
2017-05-07 11:00:00,17.3,4.116666666666666,60.0,58
2017-05-07 13:00:00,17.883333333333333,5.933333333333334,60.0,70
2017-05-07 14:00:00,17.883333333333333,6.1499999999999995,60.0,96
2017-05-07 15:00:00,17.866666666666667,4.916666666666667,60.0,70
2017-05-07 16:00:00,17.5,4.866666666666666,60.0,91
2017-05-07 17:00:00,15.766666666666666,5.95,60.0,59
2017-05-07 18:00:00,14.783333333333333,4.95,60.0,87
2017-05-07 19:00:00,14.299999999999999,3.9333333333333336,48.7,62
2017-05-07 20:00:00,12.983333333333334,5.066666666666666,0.0,39
2017-05-07 21:00:00,11.85,2.6166666666666667,0.0,31
2017-05-07 22:00:00,11.1,3.716666666666667,0.0,26
2017-05-07 23:00:00,10.440000000000001,4.14,0.0,14
2017-05-08 01:00:00,9.116666666666667,4.05,0.0,2
2017-05-08 02:00:00,8.366666666666667,2.566666666666667,0.0,3
2017-05-08 04:00:00,7.183333333333334,4.383333333333334,14.0,1
2017-05-08 05:00:00,7.333333333333333,3.9166666666666665,60.0,9
2017-05-08 06:00:00,7.75,5.25,60.0,88
2017-05-08 08:00:00,8.75,6.95,60.0,355
2017-05-08 09:00:00,9.233333333333333,7.933333333333334,60.0,183
2017-05-08 10:00:00,9.9,6.466666666666666,60.0,69
2017-05-08 12:00:00,10.683333333333332,6.8500000000000005,60.0,90
2017-05-08 13:00:00,11.033333333333333,7.133333333333333,60.0,54
2017-05-08 14:00:00,10.879999999999999,6.7,50.0,99
2017-05-08 15:00:00,10.566666666666668,6.95,60.0,341
2017-05-08 16:00:00,10.066666666666666,6.6000000000000005,60.0,372
2017-05-08 17:00:00,9.416666666666666,6.333333333333333,56.0,152
2017-05-08 18:00:00,8.766666666666667,5.633333333333333,60.0,104
2017-05-08 20:00:00,7.433333333333334,5.216666666666667,0.0,61
2017-05-08 21:00:00,6.8,5.466666666666666,0.0,42
2017-05-08 22:00:00,6.3999999999999995,5.383333333333333,0.0,30
2017-05-08 23:00:00,6.0,4.5,0.0,25
2017-05-09 00:00:00,5.6000000000000005,4.383333333333334,0.0,3
2017-05-09 01:00:00,5.383333333333333,4.283333333333333,0.0,2
2017-05-09 02:00:00,5.116666666666666,3.8166666666666664,0.0,2
2017-05-09 03:00:00,4.816666666666666,3.8333333333333335,0.0,1
2017-05-09 04:00:00,4.8,3.46,0.0,0
2017-05-09 05:00:00,5.3,2.433333333333333,0.0,11
2017-05-09 06:00:00,5.516666666666667,3.5666666666666664,20.900000000000002,89
2017-05-09 07:00:00,6.166666666666667,3.216666666666667,0.7,252
2017-05-09 08:00:00,6.733333333333333,3.5,4.0,296
2017-05-09 09:00:00,7.033333333333334,3.216666666666667,0.3,96
2017-05-09 11:00:00,5.783333333333332,2.533333333333333,0.0,51
2017-05-09 12:00:00,5.459999999999999,3.3600000000000003,0.0,40
2017-05-09 13:00:00,5.1499999999999995,3.1999999999999997,0.0,38
2017-05-09 15:00:00,4.8500000000000005,2.0,0.0,250
2017-05-09 16:00:00,4.75,2.35,0.0,279
2017-05-09 17:00:00,4.733333333333333,1.1333333333333335,0.0,157
2017-05-09 18:00:00,4.283333333333334,0.9833333333333334,0.0,96
2017-05-09 19:00:00,3.983333333333333,1.5666666666666667,0.0,61
2017-05-09 20:00:00,3.9333333333333336,2.1666666666666665,0.0,45
2017-05-09 21:00:00,3.8333333333333335,2.6999999999999997,0.0,28
2017-05-09 22:00:00,3.7999999999999994,2.9,0.0,15
2017-05-10 00:00:00,4.25,2.3000000000000003,0.0,3
2017-05-10 01:00:00,4.55,1.5666666666666667,0.0,0
2017-05-10 04:00:00,4.720000000000001,0.72,0.0,0
2017-05-10 05:00:00,4.933333333333334,1.1833333333333333,0.0,13
2017-05-10 07:00:00,5.366666666666667,1.0833333333333333,0.0,219
2017-05-10 08:00:00,5.74,1.1199999999999999,0.0,276
2017-05-10 09:00:00,6.183333333333334,1.3333333333333333,0.0,101
2017-05-10 10:00:00,6.583333333333333,1.9833333333333334,0.0,50
2017-05-10 11:00:00,6.716666666666666,1.8833333333333335,0.0,37
2017-05-10 12:00:00,7.083333333333333,1.7166666666666668,0.0,45
2017-05-10 14:00:00,7.599999999999999,2.8000000000000003,0.0,72
2017-05-10 15:00:00,7.55,2.0500000000000003,9.900000000000002,250
2017-05-10 16:00:00,7.683333333333334,1.3499999999999999,0.7,313
2017-05-10 17:00:00,7.666666666666667,2.4833333333333334,9.3,144
2017-05-10 18:00:00,7.466666666666666,2.65,40.6,130
2017-05-10 19:00:00,6.883333333333333,1.6666666666666667,19.3,73
2017-05-10 20:00:00,6.383333333333333,1.3833333333333335,0.0,49
2017-05-10 21:00:00,6.033333333333334,1.2,0.0,57
2017-05-10 22:00:00,5.733333333333333,1.3166666666666667,0.0,28
2017-05-11 00:00:00,5.616666666666667,1.4833333333333334,0.0,3
2017-05-11 01:00:00,5.6499999999999995,1.45,0.0,5
2017-05-11 02:00:00,5.066666666666666,1.1500000000000001,0.0,4
2017-05-11 03:00:00,4.733333333333333,1.0833333333333333,0.0,1
2017-05-11 04:00:00,4.933333333333334,0.9500000000000001,0.0,0
2017-05-11 05:00:00,4.720000000000001,1.28,0.0,14
2017-05-11 06:00:00,4.433333333333334,1.3499999999999999,0.0,79
2017-05-11 08:00:00,6.783333333333334,1.9666666666666668,53.0,274
2017-05-11 09:00:00,7.966666666666666,2.1666666666666665,41.0,97
2017-05-11 10:00:00,8.616666666666667,2.983333333333333,26.7,51
2017-05-11 12:00:00,10.42,2.48,24.700000000000003,41
2017-05-11 13:00:00,9.333333333333334,2.966666666666667,8.3,54
